City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Svetlyy,RU,54.675,20.1347,37.96,71,94,16.2,RU
1,Ushuaia,AR,-54.8,-68.3,47.86,61,75,17.27,AR
2,Mar Del Plata,AR,-38.0023,-57.5575,61.09,72,0,4.61,AR
3,Mayumba,GA,-3.432,10.6554,75.63,83,99,6.58,GA
4,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,BB
5,Chuy,UY,-33.6971,-53.4616,54.82,66,0,6.24,UY
6,Bubaque,GW,11.2833,-15.8333,81.86,72,100,8.32,GW
7,Mehamn,NO,71.0357,27.8492,40.95,75,75,13.8,NO
8,Bredasdorp,ZA,-34.5322,20.0403,62.46,66,93,4.5,ZA
9,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,90,59,15.66,PT
10,Muleba,TZ,-1.8397,31.6544,67.78,77,89,2.84,TZ
11,Puerto Colombia,CO,10.9878,-74.9547,82.49,83,42,13.0,CO
12,Inhuma,BR,-6.6683,-41.7078,73.4,56,47,4.97,BR
13,Saint-Francois,FR,46.4154,3.9054,44.67,93,100,5.75,FR
14,Mulanje,MW,-16.0316,35.5,73.9,81,43,4.03,MW
15,Port-Gentil,GA,-0.7193,8.7815,79.09,79,100,10.25,GA
16,Monte Alegre,BR,-2.0078,-54.0692,75.45,83,41,3.6,BR
17,Lagoa,PT,39.05,-27.9833,63.77,93,55,26.84,PT
18,Saint George,US,37.1041,-113.5841,44.26,40,0,7.0,US
19,Gat,IL,31.61,34.7642,62.4,100,5,5.61,IL
20,Methoni,GR,36.8197,21.7049,59.22,71,91,11.86,GR
21,Grand-Santi,GF,4.25,-54.3833,70.95,93,91,2.73,GF
22,Bardiyah,LY,31.7561,25.0865,62.85,79,8,10.29,LY
23,Port Alfred,ZA,-33.5906,26.891,64.18,79,35,1.99,ZA
24,East London,ZA,-33.0153,27.9116,63.54,88,0,5.75,ZA
25,Jamestown,US,42.097,-79.2353,34.02,80,100,9.22,US
26,Harrismith,ZA,-28.2728,29.1295,63.52,57,71,4.81,ZA
27,Beloha,MG,-25.1667,45.05,78.73,65,49,4.97,MG
28,Gornopravdinsk,RU,60.05,69.9,2.23,92,100,7.85,RU
29,Arraial Do Cabo,BR,-22.9661,-42.0278,72.23,89,100,6.44,BR
30,Jalu,LY,29.0331,21.5482,59.29,54,21,4.97,LY
31,Pangnirtung,CA,66.1451,-65.7125,-0.72,92,98,3.31,CA
32,Victoria,HK,22.2855,114.1577,82.45,87,99,3.0,HK
33,Matara,LK,5.9485,80.5353,83.79,67,100,2.98,LK
34,Tasiilaq,GL,65.6145,-37.6368,21.85,58,96,5.79,GL
35,Manjacaze,MZ,-24.7117,33.8828,71.44,61,0,5.21,MZ
36,Bambous Virieux,MU,-20.3428,57.7575,77.22,68,40,8.05,MU
37,Lakhtar,IN,22.85,71.7833,83.44,30,2,5.79,IN
38,Khorixas,NA,-20.3667,14.9667,67.32,40,1,1.74,NA
39,Muli,MV,2.9167,73.5667,81.57,73,98,9.93,MV
40,Ponta Do Sol,PT,32.6667,-17.1,66.7,60,95,6.11,PT
41,General Roca,AR,-39.0333,-67.5833,66.61,36,25,4.5,AR
42,Yelets,RU,52.6237,38.5017,30.18,98,100,5.32,RU
43,Hithadhoo,MV,-0.6,73.0833,81.73,75,99,10.94,MV
44,Gamba,GA,-2.65,10.0,75.96,82,99,5.26,GA
45,Chicama,PE,-7.8447,-79.1469,61.34,83,93,5.17,PE
46,Axim,GH,4.8699,-2.2405,77.09,86,30,3.94,GH
47,Morant Bay,JM,17.8815,-76.4093,80.22,83,9,8.37,JM
48,Middlebury,US,44.0153,-73.1673,32.0,97,100,5.75,US
49,Kruisfontein,ZA,-34.0033,24.7314,62.89,71,26,15.64,ZA
50,Sechura,PE,-5.5569,-80.8222,64.11,85,85,12.26,PE
51,Santa Rosa,PH,14.3122,121.1114,92.1,63,22,15.35,PH
52,Longyearbyen,SJ,78.2186,15.6401,40.84,70,40,16.11,SJ
53,Muros,ES,42.7762,-9.0603,58.08,89,100,15.61,ES
54,Ambilobe,MG,-13.2,49.05,81.52,62,4,4.72,MG
55,Cape Town,ZA,-33.9258,18.4232,63.91,72,0,6.91,ZA
56,Karlovac,HR,45.4872,15.5478,54.01,87,100,1.54,HR
57,Boca Do Acre,BR,-8.7522,-67.3978,71.31,99,100,3.49,BR
58,Bengkulu,ID,-3.8004,102.2655,86.59,63,56,16.91,ID
59,Narsaq,GL,60.9167,-46.05,16.5,95,99,3.62,GL
60,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.77,79,90,11.61,EC
61,Atar,MR,20.5169,-13.0499,75.94,30,51,8.68,MR
62,Saint Anthony,US,45.0205,-93.218,32.25,94,100,3.44,US
63,Anloga,GH,5.7947,0.8973,80.22,80,16,9.33,GH
64,Betanzos,ES,43.2804,-8.2147,58.12,83,75,9.22,ES
65,Progreso,MX,21.2833,-89.6667,77.67,83,9,9.84,MX
66,Saint-Philippe,RE,-21.3585,55.7679,76.59,69,57,8.93,RE
67,Virginia Beach,US,36.8529,-75.978,66.02,85,100,8.05,US
68,Valparaiso,CL,-33.0393,-71.6273,56.84,94,1,1.14,CL
69,Itapuranga,BR,-15.5622,-49.9486,68.92,84,43,4.34,BR
70,Saldanha,ZA,-33.0117,17.9442,63.0,80,98,9.01,ZA
71,Nouadhibou,MR,20.931,-17.0347,73.81,55,0,11.83,MR
72,Taguatinga,BR,-12.3857,-46.5711,74.5,83,95,3.56,BR
73,Salalah,OM,17.0151,54.0924,80.76,46,38,2.53,OM
74,Sinnamary,GF,5.3833,-52.95,77.05,86,85,8.75,GF
75,Nouakchott,MR,18.0858,-15.9785,76.93,39,0,10.09,MR
76,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.0,95,100,10.49,BR
77,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,34.52,CL
78,Souillac,MU,-20.5167,57.5167,73.78,68,40,8.05,MU
79,Upernavik,GL,72.7868,-56.1549,18.14,76,100,5.79,GL
80,Viytivka,UA,48.426,29.5429,37.87,91,88,3.09,UA
81,Ilulissat,GL,69.2167,-51.1,11.55,95,100,3.89,GL
82,Busselton,AU,-33.65,115.3333,71.49,46,100,12.59,AU
