Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Mayumba,GA,75.63,-3.432,10.6554,LIKWALE LODGE
4,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
6,Bubaque,GW,81.86,11.2833,-15.8333,"Casa Dora, Bubaque"
11,Puerto Colombia,CO,82.49,10.9878,-74.9547,Hotel El Emigrante
15,Port-Gentil,GA,79.09,-0.7193,8.7815,Fengshui Residence
16,Monte Alegre,BR,75.45,-2.0078,-54.0692,Hotel Shekinah
27,Beloha,MG,78.73,-25.1667,45.05,
32,Victoria,HK,82.45,22.2855,114.1577,Mini Central
33,Matara,LK,83.79,5.9485,80.5353,Amaloh Boutique Resort
36,Bambous Virieux,MU,77.22,-20.3428,57.7575,Casa Tia Villa
37,Lakhtar,IN,83.44,22.85,71.7833,Firdaus Society
39,Muli,MV,81.57,2.9167,73.5667,Medhufushi Island Resort
43,Hithadhoo,MV,81.73,-0.6,73.0833,Scoop Guest House
44,Gamba,GA,75.96,-2.65,10.0,
46,Axim,GH,77.09,4.8699,-2.2405,Axim Beach Resort And Spa
47,Morant Bay,JM,80.22,17.8815,-76.4093,Whispering Bamboo Cove Resort
54,Ambilobe,MG,81.52,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
58,Bengkulu,ID,86.59,-3.8004,102.2655,Grage Hotel Bengkulu
61,Atar,MR,75.94,20.5169,-13.0499,Oumou Elghoura
63,Anloga,GH,80.22,5.7947,0.8973,Pin Drop Hotel
65,Progreso,MX,77.67,21.2833,-89.6667,Playa Linda Hotel
66,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le four à pain
73,Salalah,OM,80.76,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
74,Sinnamary,GF,77.05,5.3833,-52.95,ALETHEIA Appartement Sinnamary
75,Nouakchott,MR,76.93,18.0858,-15.9785,HOTEL IMAN
83,Mazagao,BR,78.85,-0.115,-51.2894,Recanto dos Ferreiras
90,Cockburn Town,TC,81.55,21.4612,-71.1419,Osprey Beach Hotel
92,Luba,GQ,79.23,3.4568,8.5547,
101,Boueni,YT,78.78,-12.9025,45.0761,The feet in water
115,Porbandar,IN,83.37,21.6422,69.6093,Lords Inn Porbandar
123,Batticaloa,LK,82.22,7.7102,81.6924,Treatooo Hotel
128,Antsohihy,MG,81.55,-14.8796,47.9875,Hotel de Ville
133,Georgetown,MY,85.98,5.4112,100.3354,Cititel Penang
136,Kudahuvadhoo,MV,80.78,2.6708,72.8944,Niyama Private Islands Maldives
144,Sao Jose Da Coroa Grande,BR,75.47,-8.8978,-35.1478,Crôa Mares Hotel
147,Yanam,IN,85.08,16.7333,82.2167,The Regency Hotel
149,Grand Gaube,MU,77.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
153,Nattam,IN,82.85,10.2333,78.2333,CR Relax Home & Alagar Waters
159,Saint-Georges,GD,78.89,12.0564,-61.7485,Radisson Grenada Beach Resort
162,Monrovia,LR,76.08,6.3005,-10.7969,Sunset Inn
164,Bonthe,SL,75.78,7.5264,-12.505,Bonthe Holiday Village
170,Itaituba,BR,75.47,-4.2761,-55.9836,Hotel Campos
171,Dhidhdhoo,MV,81.12,6.8833,73.1,Dhidhoo beach
172,Bandarbeyla,SO,80.69,9.4942,50.8122,JABIR HOTEL
177,Weligama,LK,83.57,5.9667,80.4167,Weligama Bay Resort
179,Quatre Cocos,MU,77.09,-20.2078,57.7625,Sunrise Attitude Hotel
187,Budaun,IN,77.0,28.05,79.1167,Hotel J.P. Palace
189,Pemba,MZ,79.25,-12.974,40.5178,Guesthouse Samotina
192,Kishanganj,IN,77.43,26.1167,87.9333,HOTEL SILVERSTAR
198,Hobyo,SO,82.06,5.3505,48.5268,Halane Hotel and Restaurent
205,Marawi,PH,77.49,7.9986,124.2928,Derogongan Residence
206,Dingle,PH,85.84,10.9995,122.6711,SEGAYA PROPERTY
212,Ugoofaaru,MV,81.27,5.6667,73.0,Ungoofaaru Inn
220,Mahebourg,MU,77.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
221,Cap Malheureux,MU,77.47,-19.9842,57.6142,Pereybere Hotel & Spa
223,Harper,LR,76.66,4.375,-7.7169,Screensaver
225,Geraldton,AU,75.61,-28.7667,114.6,Broadwater Mariner Resort
226,Micheweni,TZ,79.43,-4.9667,39.8333,
237,Islamkot,PK,83.32,24.6997,70.177,Pizza point islamkot
241,Hunucma,MX,78.89,21.0167,-89.8667,Casa de Maribel Pamplona Poot
247,Thinadhoo,MV,81.63,0.5333,72.9333,
248,Mitsamiouli,KM,78.49,-11.3847,43.2844,Foyer ADM
252,Nsanje,MW,78.85,-16.92,35.262,Nsanje Discovery Lodge
257,Carutapera,BR,76.08,-1.195,-46.02,Lidera
268,Touros,BR,77.14,-5.1989,-35.4608,INN NEW HORIZON
